id,nim,name,major,tempatLahir,tanggalLahir,jenisKelamin,facultyId,ipk,nomorSkYudisium,tanggalSkYudisium,pddiktiStatus,statusMesin
181,20210181,Diah Riyanti,Akuntansi,Sukabumi,2002-10-31,P,1,3.08,SK-YUD/2026/0181,2026-05-20,unverified,DRAFT
182,20210182,Mumpuni Novitasari,Akuntansi,Banda Aceh,2000-05-16,L,1,3.64,SK-YUD/2026/0182,2026-05-20,unverified,DRAFT
183,20210183,Elvina Prabowo,Sistem Informasi,Bogor,2001-05-13,P,1,3.73,SK-YUD/2026/0183,2026-05-20,unverified,DRAFT
184,20210184,Ega Januar,Ilmu Komunikasi,Surabaya,2002-01-11,L,1,3.51,SK-YUD/2026/0184,2026-05-20,unverified,DRAFT
185,20210185,Lembah Waluyo,Ilmu Komunikasi,Tebingtinggi,2000-08-13,L,1,3.17,SK-YUD/2026/0185,2026-05-20,unverified,DRAFT
186,20210186,Hendra Utama,Manajemen,Tomohon,2002-09-14,L,1,3.23,SK-YUD/2026/0186,2026-05-20,unverified,DRAFT
187,20210187,Gina Nasyidah,Manajemen,Medan,2000-12-15,P,1,3.92,SK-YUD/2026/0187,2026-05-20,unverified,DRAFT
188,20210188,Malika Suryono,Manajemen,Dumai,2003-02-10,P,1,3.48,SK-YUD/2026/0188,2026-05-20,unverified,DRAFT
189,20210189,Teddy Ramadan,Teknik Elektro,Tasikmalaya,2000-03-17,L,1,3.46,SK-YUD/2026/0189,2026-05-20,unverified,DRAFT
190,20210190,Edi Hutasoit,Akuntansi,Palangkaraya,2003-01-19,L,1,3.26,SK-YUD/2026/0190,2026-05-20,unverified,DRAFT
191,20210191,Rendy Hartati,Manajemen,Mojokerto,2003-07-15,L,1,3.88,SK-YUD/2026/0191,2026-05-20,unverified,DRAFT
192,20210192,Gilda Winarno,Teknik Informatika,Bengkulu,2003-12-23,P,1,3.36,SK-YUD/2026/0192,2026-05-20,unverified,DRAFT
193,20210193,Widya Maulana,Manajemen,Tual,2000-07-19,P,1,3.27,SK-YUD/2026/0193,2026-05-20,unverified,DRAFT
194,20210194,Melinda Susanti,Teknik Elektro,Bukittinggi,2000-01-08,P,1,3.08,SK-YUD/2026/0194,2026-05-20,unverified,DRAFT
195,20210195,Carla Suwarno,Sistem Informasi,Subulussalam,2000-12-12,P,1,3.12,SK-YUD/2026/0195,2026-05-20,unverified,DRAFT
196,20210196,Bella Kusumo,Akuntansi,Sorong,2003-05-06,P,1,3.47,SK-YUD/2026/0196,2026-05-20,unverified,DRAFT
197,20210197,Nasim Megantara,Teknik Elektro,Samarinda,2001-03-01,L,1,3.00,SK-YUD/2026/0197,2026-05-20,unverified,DRAFT
198,20210198,Mulya Winarsih,Teknik Informatika,Meulaboh,2000-05-04,L,1,3.93,SK-YUD/2026/0198,2026-05-20,unverified,DRAFT
199,20210199,Makara Wibisono,Teknik Informatika,Batam,2003-12-03,L,1,3.24,SK-YUD/2026/0199,2026-05-20,unverified,DRAFT
200,20210200,Oskar Wahyuni,Ilmu Komunikasi,Bogor,2002-07-06,L,1,3.73,SK-YUD/2026/0200,2026-05-20,unverified,DRAFT
201,20210201,Puji Sirait,Ilmu Komunikasi,Tanjungpinang,2003-04-02,P,1,1.91,SK-YUD/2026/0201,2026-05-20,unverified,DRAFT
202,20210202,Rosman Mansur,Manajemen,Kupang,2000-04-02,L,1,2.27,SK-YUD/2026/0202,2026-05-20,unverified,DRAFT
203,20210203,Prima Pangestu,Teknik Elektro,Probolinggo,2003-07-17,L,1,1.99,SK-YUD/2026/0203,2026-05-20,unverified,DRAFT
204,20210204,Ani Yuliarti,Teknik Informatika,Kota Administrasi Jakarta Timur,2000-10-06,P,1,2.01,SK-YUD/2026/0204,2026-05-20,unverified,DRAFT
205,20210205,Maya Wacana,Manajemen,Denpasar,2002-12-21,P,1,2.34,SK-YUD/2026/0205,2026-05-20,unverified,DRAFT
206,20210206,Kartika Maryati,Manajemen,Palangkaraya,2001-01-24,P,1,1.85,SK-YUD/2026/0206,2026-05-20,unverified,DRAFT
207,20210207,Kenes Sihombing,Ilmu Komunikasi,Lhokseumawe,2001-04-13,L,1,1.85,SK-YUD/2026/0207,2026-05-20,unverified,DRAFT
208,20210208,Eli Handayani,Teknik Elektro,Kota Administrasi Jakarta Utara,2001-05-28,P,1,1.83,SK-YUD/2026/0208,2026-05-20,unverified,DRAFT
209,20210209,Bahuraksa Winarsih,Ilmu Komunikasi,Bandar Lampung,2002-07-19,L,1,2.02,SK-YUD/2026/0209,2026-05-20,unverified,DRAFT
210,20210210,Ami Mahendra,Teknik Elektro,Meulaboh,2000-04-08,P,1,2.27,SK-YUD/2026/0210,2026-05-20,unverified,DRAFT
211,20210211,Lukita Mangunsong,Teknik Elektro,Tual,2002-09-18,L,1,3.90,SK-YUD/2026/0211,2026-05-20,unverified,DRAFT
212,20210212,Karta Utama,Sistem Informasi,Bandar Lampung,2001-08-04,L,1,3.62,SK-YUD/2026/0212,2026-05-20,unverified,DRAFT
